Sentence,Emotion,Cleaned_Sentence
thế là .... nổi tiếng sao ?,Surprise,thế_là nổi_tiếng sao
hình phạt đó quá nhẹ không có sức dặn đe kẻ khác,Anger,hình_phạt đó quá nhẹ không có sức_dặn đe_kẻ khác
dume nghe kể mà đau cổ họng vãi :),Fear,dume nghe kể mà đau cổ_họng vãi icon_vui
khiếp ăn tạp chẳng chết,Fear,khiếp ăn_tạp chẳng chết
một cái tết nhiều tiền,Enjoyment,một cái tết nhiều tiền
phim này thật ra hay nhưng không có tính thực tế . không hay bằng truyện .,Disgust,phim này thật_ra hay nhưng không có tính thực_tế không hay bằng truyện
sao tao ghét mấy cái tiếng cười của bọn khựa vãi mà video lồn nào cũng nge,Disgust,sao tao ghét mấy cái tiếng cười của bọn khựa vãi mà video lồn nào cũng nge
"giáo viên tiếng anh ở cấp thcs cực kì chán , phát âm sai bét , giao tiếp tiếng anh thì cứ ừ à .",Other,giáo_viên tiếng anh ở cấp thcs cực_kì chán phát_âm sai bét giao_tiếp tiếng anh thì cứ ừ à
nó còn kể với bạn nó .. bạn nó cũng là bạn mình,Disgust,nó còn kể với bạn nó bạn nó cũng là bạn mình
dume tao chửi cho nó sấp mặt luôn chứ còn gì nữa,Anger,dume tao chửi cho nó sấp_mặt luôn chứ còn gì nữa
cầu trời phật cho đại gia đình con sức khỏe !,Enjoyment,cầu trời phật cho đại_gia_đình con sức_khỏe
do chính sách quản lý yếu kém mới ra vậy đó,Disgust,do chính_sách quản_lý yếu_kém mới ra vậy đó
con đáng yêu quá,Enjoyment,con đáng yêu quá
hồi xưa còn bị vén tà áo dài nằm lên bàn rồi đánh . chứ quỳ thế này có là gì đâu . giờ mới thấy cảm ơn thầy cô vì hồi đó đã như vậy .,Enjoyment,hồi xưa còn bị vén tà áo_dài nằm lên bàn rồi đánh chứ quỳ thế này có là gì đâu giờ mới thấy cảm_ơn thầy cô vì hồi đó đã như_vậy
phim nay và phim triệu phú ổ chuột là 2 phim của ấn mà mình thích nhất,Enjoyment,phim nay và phim triệu_phú ổ_chuột là 2 phim của ấn mà mình thích nhất
:))) bố mày nghi nghi rồi . tắt loa auto sáng suốt :))),Other,icon_vui bố mày nghi nghi rồi tắt loa auto sáng_suốt icon_vui
trời . cưng chết được,Enjoyment,trời cưng chết được
dù chỉ là 1 cây bông nhưng nó là tất cả tình yêu của ông dành cho bà ❤❤❤,Enjoyment,dù chỉ là 1 cây bông nhưng nó là tất_cả tình_yêu của ông dành cho bà
thằng nào phán sai bỏ tiền túi ra mà đền cho người bị oan sai đừng lấy tiền của nhà nước,Disgust,thằng nào phán sai bỏ tiền_túi ra mà đền cho người bị oan sai đừng lấy tiền của nhà_nước
chỉ để nhìn cái thôi :)),Enjoyment,chỉ để nhìn cái thôi icon_vui
"thôi , không tranh luận với các ông . thế đi đường gặp thằng nào đỗ thế này cả nửa ngày , mà tắc đường và gọi nó không được , các ông đừng há mồm ra dume nó nhé . vì nó đúng mà",Anger,thôi không tranh_luận với các ông thế đi đường gặp thằng nào đỗ_thế này cả nửa ngày mà tắc đường và gọi nó không được các ông đừng há mồm ra dume nó nhé vì nó đúng mà
2 thằng chúng mày lại không làm gì được ư ?,Surprise,2 thằng chúng_mày lại không làm gì được ư
chai này mới ghi được nhìu chữ kkk,Enjoyment,chai này mới ghi được nhiều chữ k
không biết mình có được may mắn như cụ bà này không,Other,không biết mình có được may_mắn như_cụ bà này không
mũ sơ sài mà hiệu quả vãi,Surprise,mũ sơ_sài mà hiệu_quả vãi
"per nghe đồn mày yêu mèo , mà sao mày không đáng yêu :))",Disgust,per nghe đồn mày yêu mèo mà sao mày không đáng yêu icon_vui
đcm ác mộng,Fear,chửi_thề ác_mộng
per gặp tao chắc tao đái trong vần 😅😅,Fear,per gặp tao chắc tao đái trong vần icon_vui icon_vui
mấy thằng súc vật 😡,Disgust,mấy thằng súc_vật icon_tucgian
cáu vãi :))),Anger,cáu vãi icon_vui
per bảo sao tao cứ muốn nghỉ việc . lm với cái tao sờ choét lắm,Other,per bảo sao tao cứ muốn nghỉ_việc lm với cái tao sờ choét lắm
""" vậy là đủ tuổi ngồi tù rồi nhỉ ?"" , mặt anh rất tỉnh và đẹp zai =))",Enjoyment,vậy là đủ tuổi ngồi_tù rồi nhỉ mặt anh rất tỉnh và đẹp zai
giống chó này tên là gì vậy các bác 🙄,Other,giống chó này tên là gì vậy các bác icon_chankhet
làm bộ mặt ngầu cho thằng thỏ để ý mà thằng này láo ăn thiệt đéo cho mình ăn ké quê thiệt là quê luôn,Sadness,làm_bộ_mặt ngầu cho thằng thỏ để_ý mà thằng này láo ăn thiệt đéo cho mình ăn ké quê thiệt là quê luôn
tao thấy dễ thương màaaa,Enjoyment,tao thấy dễ_thương màa
cách người ta phản ứng cũng văn minh ghê ❤️,Enjoyment,cách người_ta phản_ứng cũng văn_minh ghê
"per 😥 cảm thấy tội lỗi quá , từ nay không chụp nữa thiệt luôn",Sadness,per icon_loso cảm thấy tội_lỗi quá từ nay không chụp nữa thiệt luôn
em mà biết nó vô văn hóa thế thì em cũng làm cách này luôn cho nó nhanh ah :-),Disgust,em mà biết nó vô văn_hóa thế_thì em cũng làm cách này luôn cho nó nhanh à
per hồi lớp 1 tao quên nhãn vở mỹ thuật sợ đánh quá ngồi khóc tè le,Other,per hồi lớp 1 tao quên nhãn_vở mỹ_thuật sợ đánh quá ngồi khóc tè le
cảm ơn các anh tình nguyện viên .,Enjoyment,cảm_ơn các anh tình_nguyện_viên
thật tuyệt vời !,Enjoyment,thật tuyệt_vời
3 thằng ngốc . xem ý nghĩa lắm,Enjoyment,3 thằng ngốc xem ý_nghĩa lắm
dễ thương quá !!!,Enjoyment,dễ_thương quá
"thì đi ra chỗ khác viết , đụ mẹ coi mà tao tức á .",Anger,thì đi ra chỗ khác viết đụ_mẹ coi mà tao tức á
bà ngoại của em đáng yêu hơn thế này nhiều,Enjoyment,bà ngoại của em đáng yêu hơn thế này nhiều
đem hủy mẹ đi . đấu giá cái quần què gì xong thằng mua lại nó hứng nó cho cả thế giới dính vr cmnl .,Anger,đem hủy mẹ đi đấu_giá cái quần què gì xong thằng mua lại nó hứng nó cho cả thế_giới dính vr cmnl
đã sợ rồi .. cố gắng hí mắt để xa ra để coi như thế nào .. khúc cuối hết hồn dục luôn cái điện thoại :))),Fear,đã sợ rồi cố_gắng hí mắt để xa ra để coi như thế_nào khúc cuối hết_hồn dục luôn cái điện_thoại icon_vui
tao thấy cảm động vãi .,Enjoyment,tao thấy cảm_động vãi
cũng sợ mấy con ngoe nguẩy như giòi 😰,Fear,cũng sợ mấy con ngoe_nguẩy như giòi icon_loso
đáng lẽ bệnh của tao đã không nặng đến thế,Sadness,đáng_lẽ bệnh của tao đã không nặng đến thế
đẹp khó tin quá,Surprise,đẹp khó tin quá
xấu mà đáng yêuc quá,Enjoyment,xấu mà đáng yêuc quá
"t xem cái này từ lâu lâu lâu rồi cơ , đéo bất ngờ gì cạ 😕",Other,tao xem cái này từ lâu_lâu_lâu rồi cơ đéo bất_ngờ gì cạ
duới miền tây là kiến vàng sao ngoài ấy lại dùng kiến đen nhỉ ?,Surprise,duới miền tây là kiến_vàng sao ngoài ấy lại dùng kiến_đen nhỉ
xưa dữ luôn,Surprise,xưa dữ luôn
"con cái có hư hỏng thì cha mẹ phải dạy dỗ , chứ cái loại thờ ơ khi con mình hư hỏng thế này thì đúng là dột từ nóc rồi .",Disgust,con_cái có hư_hỏng thì cha_mẹ phải dạy_dỗ chứ cái loại thờ_ơ khi con mình hư_hỏng thế này thì đúng là dột từ nóc rồi
mê trai hơn bạn có thật :(,Enjoyment,mê trai hơn bạn có thật icon_buon
má toàn truyện trong mơ không hà mắc cười quá 😂,Enjoyment,má toàn truyện trong mơ không hà mắc cười quá icon_vui
per khóc quá trời rủ họp lớp đéo thấy đâu,Disgust,per khóc quá trời rủ họp lớp đéo thấy đâu
phim ấn thì của lão amir khan là hay vol,Enjoyment,phim ấn thì của lão amir khan là hay vol
"cha quay phim cũng không phải dạng vừa , mẹ diễn viên thần thái vãi",Enjoyment,cha quay_phim cũng không phải dạng vừa mẹ diễn_viên thần_thái vãi
ơ thế hoá ra tao không bị ngu một mình ?,Sadness,ơ thế hoá_ra tao không bị ngu một_mình
"động lực là lo được cho gdinh , tự chủ bản thân",Enjoyment,động_lực là lo được cho gdinh tự_chủ bản_thân
nhìn nữa sao . hỏng yêu đi . cho doi . vui vẻ,Enjoyment,nhìn nữa sao hỏng yêu đi cho doi vui_vẻ
trời đất . 580k không tiếc thì tiếc gì trời . người ta làm ăn đàng hoàng . hứa hươu hứa vượn . là người lớn mà làm trò mất nết vậy trời @@,Disgust,trời_đất 580k không tiếc thì tiếc gì trời người_ta làm_ăn đàng_hoàng hứa hươu hứa vượn là người_lớn mà làm_trò mất_nết_vậy trời
cảm ơn bạn vì đã chia sẻ cũng như đã luôn sáng suốt để không làm gì sai,Enjoyment,cảm_ơn bạn vì đã chia_sẻ cũng như đã luôn sáng_suốt để không làm gì sai
"rất dũng cảm , đáng yêu quá",Enjoyment,rất dũng_cảm đáng yêu quá
nhà tao còn nè,Enjoyment,nhà tao còn nè
dễ thương quá hà,Enjoyment,dễ_thương quá hà
"như mọi năm thôi mưa gió rét mướt , bây giờ mót ỉa là chỉ có thánh mới giúp được",Disgust,như mọi năm thôi mưa_gió rét_mướt bây_giờ mót ỉa là chỉ có thánh mới giúp được
đọan con chó tao cười đau bụng,Enjoyment,đọan con chó tao cười đau bụng
đó cũng là giải pháp hay để lừa một thèn ngu :))),Enjoyment,đó cũng là giải_pháp hay để lừa một thèn ngu icon_vui
tao lại sợ ngôn tình quá cơ 😒,Fear,tao lại sợ_ngôn tình quá cơ icon_chankhet
per ít bữa dẫn mày xem cái này,Other,per ít bữa dẫn mày xem cái này
lên báo sớm thôi nhỉ,Other,lên báo sớm thôi nhỉ
tỏ tình cho nó biết thôi chứ yêu đương gì tầm này :(((,Disgust,tỏ_tình cho nó biết thôi chứ yêu_đương gì tầm này icon_buon
cầu mong những công ơn sinh thành luôn mạnh khỏe .,Enjoyment,cầu_mong những công_ơn sinh thành luôn mạnh_khỏe
cái miệng nó nhanh hơn cái não,Disgust,cái miệng nó nhanh hơn cái não
thành phố tao nhiều người còn dân trí thấp là sao ? bố con dở người,Disgust,thành_phố tao nhiều người còn dân_trí thấp là sao bố con dở_người
per giống súp lơ của bạn mình,Other,per giống súp_lơ của bạn mình
"k có con gì ác bằng con người , các con bé như thế mà nó không tha",Fear,không có con gì ác bằng con_người các con bé như thế_mà nó không tha
chi phí kiểm toán và thuê người tổ chức hòa giải chia chác thôi,Other,chi_phí kiểm_toán và thuê người tổ_chức hòa giải chia_chác thôi
thêm cả trò mắt mèo khốn nạn nữa,Anger,thêm cả trò mắt mèo khốn_nạn nữa
ăn ở cái gì huhu,Sadness,ăn_ở cái gì huhu
nhiều lúc ngáo ngáo thoải mái đến mức người yêu cũng đéo bằng nó và đến khi nó thổ lộ tình cảm thì tao đéo tin :v,Enjoyment,nhiều lúc ngáo ngáo thoải_mái đến mức người_yêu cũng đéo bằng nó và đến khi nó thổ_lộ tình_cảm thì tao đéo tin v
vẫn bình thường chán làm khách sạn nhọc nhục hơn 👻👻 xoạc nhau nước nôi máu me be bét ra 😭 kinh chết mẹ 😶,Disgust,vẫn bình_thường chán làm_khách_sạn nhọc nhục hơn xoạc nhau nước_nôi máu_me be_bét ra icon_buon kinh chết mẹ
đúng là khốn nạn mà,Anger,đúng là khốn_nạn mà
ôi hạnh phúc quá 😄😄😄,Enjoyment,ôi hạnh_phúc quá
"per hồi học đại học , điện hỏi xin tiền bố , bố ra ngân hàng gửi tiền rồi điện em hỏi stk rồi hỏi "" tên mày là gì ??"" 😭😭",Sadness,per hồi học đại_học điện hỏi xin tiền bố bố ra ngân_hàng gửi tiền rồi điện em hỏi stk rồi hỏi tên mày là gì icon_buon icon_buon
đúng . biết là sự thật tàn nhẫn nhưng vẫn muốn biết rõ cho nhẹ lòng hơn :(,Sadness,đúng biết là sự_thật tàn_nhẫn nhưng vẫn muốn biết rõ cho nhẹ lòng hơn icon_buon
mấy kiếp tu luyện mà có 5 triệu thôi à ?,Surprise,mấy kiếp tu_luyện mà có 5 triệu thôi à
đau còn hơn tỏ tình bị từ chối per,Sadness,đau còn hơn tỏ_tình bị từ_chối per
dễ thương vãi ♥♥♥,Enjoyment,dễ_thương vãi
bố mày đã sợ nhện rồi xem cái video này ... vãi đái :(((,Fear,bố mày đã sợ nhện rồi xem cái video này vãi đái icon_buon
bà xinh thật sự ❤️,Enjoyment,bà xinh thật_sự
đây là hội à mày ? làm tao phải lên gg tra sao lại đông người thế :)),Surprise,đây là hội à mày làm tao phải lên gg tra sao lại đông người thế icon_vui
lại khoe có người yêu - _ -,Other,lại khoe có người_yêu _
đừng trao duyên cho tao khi chưa biết rõ tao :(,Disgust,đừng trao duyên cho tao khi chưa biết rõ tao icon_buon
chưa có cơ hội nói cảm ơn và xin lỗi . vì chúng ta xứng đáng được bình yên,Sadness,chưa có cơ_hội nói cảm_ơn và xin_lỗi vì chúng_ta xứng_đáng được bình_yên
đáng nhẽ nên làm việc này từ sớm . chứ hàn quốc họ làm từ lâu rồi ạ,Other,đáng nhẽ nên làm_việc này từ sớm chứ hàn_quốc họ làm từ lâu rồi ạ
"quá bản lĩnh luôn , người đáng nể , tiếc là anh ấy sắp bị tử hình rồi",Sadness,quá bản_lĩnh luôn người đáng nể tiếc là anh ấy sắp bị tử_hình rồi
không biết mấy ba mấy mẹ chơi bửa đó có xem được bài viết này không 😂😂😂... có ai lên incon phẫn nộ thì hiểu rồi ha,Disgust,không biết_mấy ba mấy mẹ chơi bửa đó có xem được bài viết này không icon_vui icon_vui icon_vui có ai lên incon phẫn_nộ thì hiểu rồi ha
góp phần xây dựng đất nước chứ gì kkk đóng nhiếu rứa,Enjoyment,góp_phần xây_dựng đất_nước chứ gì k đóng nhiếu rứa
"đm hồi đó nhà có nuôi bốn con , bữa đang ngồi chơi nặn đất sét nó chạy cả lũ tới , thật sự là tao không biết con đéo nào nhma có một con trong đó kéo áo phía sau lưng tao lên rồi cả lũ cắn lưng tao dume nó thốn vãi luôn . thề !",Anger,chửi_thề hồi đó nhà có nuôi bốn con bữa đang ngồi chơi nặn đất_sét nó chạy cả lũ tới thật_sự là tao không biết con đéo nào nhma có một con trong đó kéo áo phía sau lưng tao lên rồi cả lũ cắn lưng tao dume nó thốn vãi luôn thề
cải ngu lắm ... chưa ai ngu như cải tao thì không yêu đi yêu đứa vừa béo vừa lắm lông,Disgust,cải ngu lắm chưa ai ngu như cải tao thì không yêu đi yêu đứa vừa béo vừa lắm lông
toàn lũ đầu trâu mặt ngựa,Disgust,toàn lũ đầu trâu mặt ngựa
làm tao liên tưởng đển phượng hoàng cổ trấn :))),Enjoyment,làm tao liên_tưởng đển phượng_hoàng cổ trấn icon_vui
cố gắng đi gần người ta 1 xíu . rồi lướt qua nhau như 1 cơn gió,Other,cố_gắng đi gần người_ta 1 xíu rồi lướt qua nhau như 1 cơn gió
chơi vậy ai chơi,Disgust,chơi vậy ai chơi
per thì tốt nhỉ quá đỉnh luôn ... nhưng không biết được trọng dụng không nữa buồn quá,Sadness,per thì tốt nhỉ quá đỉnh luôn nhưng không biết được trọng_dụng không nữa buồn quá
đồ điên,Anger,đồ điên
tự nhiên muốn có con 😐 dume,Enjoyment,tự_nhiên muốn có con dume
cảm động người thầy đưa học sinh đi làm hồ sơ 🙄,Enjoyment,cảm_động người thầy đưa học_sinh đi làm hồ_sơ icon_chankhet
đúng là lợi ích kinh tế lâu dài .,Other,đúng là lợi_ích kinh_tế lâu_dài
thái bình nắng to rồi,Other,thái_bình nắng to rồi
nói như việt nam . nhưng hơi láo cá chắc thầy của ônc cũng như ông,Disgust,nói như việt_nam nhưng hơi láo cá chắc thầy của ônc cũng như ông
lò xô xài bằng dầu lửa con gọi là dầu thôi,Other,lò xô xài bằng dầu_lửa con gọi là dầu thôi
đi đường buổi đêm nhìn thấy hãi vãi ??,Fear,đi đường buổi đêm nhìn thấy hãi vãi
nặng tay cho chừa cái tật hại người,Disgust,nặng_tay cho chừa cái tật hại người
"ngàn cân treo sợi tóc nhỉ , csong mong manh quá",Sadness,ngàn cân_treo sợi tóc nhỉ csong mong_manh quá
ko 1 từ nào để diễn tả bộ phim này ...,Enjoyment,không 1 từ nào để diễn_tả bộ phim này
"nhỏ thấy qua 1 lần , nó bị cột ngay trước cửa nhà người ta ở trong hẻm , mỗi lần đi ngang qua là nó lại định lao tới cà khịa",Fear,nhỏ thấy qua 1 lần nó bị cột ngay trước cửa_nhà người_ta ở trong hẻm mỗi lần đi ngang qua là nó lại định lao tới cà_khịa
cười ị :v,Enjoyment,cười ị v
bởi vì gặp nhau sai thời điểm nên tôi mất người mãi mãi ...,Sadness,bởi_vì gặp nhau sai thời_điểm nên tôi mất người mãi_mãi
gia đình thì không còn . tình yêu thì chưa có gì chắc chắn . 😏,Sadness,gia_đình thì không còn tình_yêu thì chưa có gì chắc_chắn
"chỉ cần bạn dùng tình yêu thương , sự chân thành của mình đối với nó thì không gì là không thể .",Other,chỉ cần bạn dùng tình_yêu_thương sự chân_thành của mình đối_với nó thì không gì là không_thể
disme tao chưa thấy con họa mi nào hót dở như con này luôn á .🤔🤔,Disgust,disme tao chưa thấy con_họa mi nào hót dở như con này luôn á
"muốn em vui vẻ đơn giản lắm , chỉ cần bao ăn bao xem phim tuần 1 lần thôi hỡi các đồng nghiệp ơiii 🤣",Enjoyment,muốn em vui_vẻ đơn_giản lắm chỉ cần bao ăn bao xem phim tuần 1 lần thôi hỡi các đồng_nghiệp ơi icon_vui
hay ý nghĩa sâu sắc 🙂,Enjoyment,hay ý_nghĩa sâu_sắc icon_vui
trẻ trâu quá đông và nguy hiểm,Disgust,trẻ trâu quá đông và nguy_hiểm
chắc chắn là vị mặn của mồ hôi,Other,chắc_chắn là vị mặn của mồ_hôi
mày uống trà sữa thôi . đéo ăn gì nữa =)),Other,mày uống trà sữa thôi đéo ăn gì nữa
tất cả cùng không tính điểm . thế là xong :v,Other,tất_cả cùng không tính điểm thế_là xong v
nó cũng làm thế với bao người khác đấy,Other,nó cũng làm thế với bao người khác đấy
quay vào ô mất lượt :)),Sadness,quay vào ô mất lượt icon_vui
"mình đã xem rất nhiều video như này rồi , nên thấy cũng bình thường =)))",Other,mình đã xem rất nhiều video như này rồi nên thấy cũng bình_thường
"sợ nhất mấy đứa ảo tưởng sức mạnh , nhắn tin nhiều chút là auto mình thích nó",Fear,sợ nhất mấy đứa ảo_tưởng sức_mạnh nhắn_tin nhiều chút là auto mình thích nó
chắc từ giờ tao đéo giám ho nữa quá .,Fear,chắc từ giờ tao đéo giám_ho nữa quá
đm mưa đâu đéo thấy . nóng vãi,Disgust,chửi_thề mưa đâu đéo thấy nóng vãi
per không cho anh đi tập đâu nha mất bồ như chơi,Fear,per không cho anh đi tập đâu nha mất bồ như_chơi
đối với thế giới này bà lão chỉ là một ai đó . nhưng đối với ông lão đó bà lão là cả thế giới 😊,Enjoyment,đối_với thế_giới này bà lão chỉ là một ai đó nhưng đối_với ông lão đó bà lão là cả thế_giới icon_vui
"per haha nhiều tiền quá mang đây tao tiêu hộ cho , đóng thuế 10 củ phí quá =))",Other,per haha nhiều tiền quá mang đây tao tiêu hộ cho đóng thuế 10 củ phí quá
"trời đụ , tội bé",Sadness,trời đụ tội bé
có lưu luyến thì lưu luyến người mình thích chứ lưu luyến gì cái trường đấy 😶,Disgust,có lưu_luyến thì lưu_luyến người mình thích chứ lưu_luyến gì cái trường đấy
"đụ mẹ tục , cuối tuần về ra nha :))",Disgust,đụ_mẹ tục cuối tuần về ra nha_icon_vui
nốt hôm nay thui . thui không ngĩ đến và bắt đầu từ bỏ 1 thói quen,Sadness,nốt hôm_nay thui thui không ngĩ đến và bắt_đầu_từ_bỏ 1 thói_quen
uiii xinh gái thế ...,Enjoyment,ui xinh gái thế
chạy 200tr là vào biên chế ngay . thực trạng chung . cần gì có chuyên môn hay không,Disgust,chạy 200tr là vào biên_chế ngay thực_trạng chung cần gì có chuyên_môn hay không
vì đồng tiền mà chúng mày giết bao nhiêu gia đình . chúng mày ăn những đồng tiền đấy mà chúng mày cũng nuốt trôi được à . bọn khốn nạn,Anger,vì đồng_tiền mà chúng_mày giết bao_nhiêu gia_đình chúng_mày ăn những đồng_tiền đấy mà chúng_mày cũng nuốt trôi được à bọn khốn_nạn
cảm ơn các anh chị báo chí phóng viên đã đưa tin . mong cơ quan chức năng hãy làm thật nghiêm . thật mạnh tay vụ này . đến khổ mấy đứa nhỏ . mưa rét thế này . càng nghĩ càng tức .,Anger,cảm_ơn các anh_chị báo_chí phóng_viên đã đưa tin mong cơ_quan_chức_năng hãy làm thật nghiêm thật mạnh_tay vụ này đến khổ mấy đứa nhỏ mưa rét thế này càng nghĩ càng tức
c trai như thế nào tuyệt chủng rồi :),Sadness,c trai như thế_nào tuyệt_chủng rồi icon_vui
per ngóng cuộc đấu tranh công nghệ này . tq đồng lòng ghê nhỉ,Sadness,per ngóng cuộc đấu_tranh công_nghệ này tq đồng_lòng ghê nhỉ
nước mình chả í thức gì cả xả rác bừa bãi để trôi rác đầy đường thể này thật buồn,Sadness,nước mình chả í thức gì cả xả rác bừa_bãi để trôi rác đầy đường thể này thật buồn
nhờn :))),Disgust,nhờn icon_vui
"năm nay mua cân na về nhà ăn dần , tối ra đường xem chúng nó dẫn vợ thằng khác đi chơi ... kaka",Enjoyment,năm nay mua cân na về nhà_ăn dần tối ra đường xem chúng_nó dẫn vợ thằng khác đi chơi kaka
tiền bồi thường lấy ở đâu ? cứ làm bừa làm ẩu rồi lấy tiền của dân mà đền đề nghị sửa lại nếu ai làm sai thì bỏ tiền túi ra mà đền,Disgust,tiền bồi_thường lấy ở đâu cứ làm bừa làm ẩu rồi lấy tiền của dân mà đền đề_nghị sửa lại nếu ai làm sai thì bỏ tiền_túi ra mà đền
điềm báo gì đây,Fear,điềm báo gì đây
siêu phẩm để đời .,Enjoyment,siêu phẩm để đời
tao phải công nhận là nó giỏi vãi . từ đứa diễn đến đứa quay và edit video .. giỏi vãi 🤣,Enjoyment,tao phải công_nhận là nó giỏi vãi từ đứa diễn đến đứa quay và edit video giỏi vãi icon_vui
per trai hay gái thì vẫn thấy tữn như thường kk,Enjoyment,per trai hay gái thì vẫn thấy tữn như_thường kk
động lực cho tôi tiếp tục .,Other,động_lực cho tôi tiếp_tục
"thôi bảo em gái xuống ngủ với mẹ đi , còn em percó sợ ma không ? thì ngủ với anh . hehe",Enjoyment,thôi bảo em_gái xuống ngủ với mẹ đi còn em percó sợ ma không thì ngủ với anh hehe
đã nuôi thì nên chăm sóc bé cẩn thận ??,Other,đã nuôi thì nên chăm_sóc bé cẩn_thận
quê vải mà chưa được ăn quả nào . huhu,Sadness,quê vải mà chưa được ăn quả nào huhu
"mới đây thôi mà đa 3 năm rồi , những ngày chia tay buồn đó :((",Sadness,mới_đây thôi mà đa 3 năm rồi những ngày chia_tay buồn đó icon_buon
"ý thức đéo gì đâu , từ già đến trẻ luôn 😥",Disgust,ý_thức đéo gì đâu từ già đến trẻ luôn icon_loso
"tao cũng vậy , mấy cái thiệp chúc noel thời cấp 2 trẻ trâu của lũ bạn vẫn còn nguyên xi",Other,tao cũng vậy mấy cái thiệp chúc noel thời cấp 2 trẻ trâu của lũ bạn vẫn còn nguyên_xi
per haha . đặt bánh thì đặt thành cặp nhé . haha .😂😂,Enjoyment,per haha đặt bánh thì đặt thành cặp nhé haha icon_vui icon_vui
thể loại này next sớm đi em,Disgust,thể_loại này next sớm đi em
làm chung với con mẹ ngáo là phải chuyển đi liền :) per ngọc kiều dung,Disgust,làm chung với con_mẹ ngáo là phải chuyển đi liền icon_vui per ngọc kiều dung
per ta nguyện nằm im,Other,per ta nguyện nằm im
thôi nhà đang yên ổn,Other,thôi nhà đang yên_ổn
"chưa học cách kiếm tiền đã học thói đi lừa tiền =,= thua",Disgust,chưa học cách kiếm tiền đã học thói đi lừa tiền thua
t tin crush của tao không bị thịt vì tao đéo crush ai cả =)),Enjoyment,tao tin crush của tao không bị_thịt vì tao đéo crush ai cả
con mẹ kia có vấn đề về thần kinh :) không cần biết ai đúng ai sai nhưng đéo lịch sự thì đã đéo có tư cách nói chuyện rồi :) con bà kia xem được video chắc buồn làm,Disgust,con_mẹ kia có vấn_đề về thần_kinh icon_vui không cần biết ai đúng ai sai nhưng đéo lịch_sự thì đã đéo có tư_cách nói_chuyện rồi icon_vui con bà kia xem được video chắc buồn làm
ai chưa xem thì nên xem 1 lần đi . đảm bảo không phí 3h đồng hồ của các bạn 😃,Enjoyment,ai chưa xem thì nên xem 1 lần đi đảm_bảo không phí 3h đồng_hồ của các bạn
chơi cái kiểu này nè :)) per,Enjoyment,chơi cái kiểu này nè icon_vui per
đéo mẹ . nhìn nổi da gà ..,Disgust,đéo mẹ nhìn nổi da_gà
đó là một câu chuyện buồn,Sadness,đó là một câu_chuyện buồn
cười trước nỗi đau của người khác,Other,cười trước nỗi đau của người khác
có ai biết 2 người này không ạ ?,Other,có ai biết 2 người này không ạ
per coi đoạn con chó chết cười luôn em :)),Enjoyment,per coi đoạn con chó chết cười luôn em icon_vui
chủ tịch lén lút dùng đồ của vợ làm vlog và cái kết ?,Other,chủ_tịch lén_lút dùng đồ của vợ làm vlog và cái kết
chúc mừng anh 👏👏👏 chúc anh may mắn . cố lênnnnn 💪💪💪,Enjoyment,chúc_mừng anh chúc anh may_mắn cố lên
phê thật . cái tai nó đang thâm đen xì lấy ra hết lại trắng hồng luôn,Enjoyment,phê thật cái tai nó đang thâm đen xì lấy ra hết lại trắng hồng luôn
do cái áo . mặc giống nhau làm đíuu gì,Anger,do cái áo mặc giống nhau làm đíuu gì
tội còn nặng hơn cả khẩu nghiệp nữa 😌😌😌,Disgust,tội còn nặng hơn cả khẩu nghiệp nữa
hồi xưa anh hay bị chửi trẻ trâu này nọ ... giờ anh là tổng giám đốc rồi 😁😎,Enjoyment,hồi xưa anh hay bị chửi trẻ trâu này_nọ giờ anh là tổng_giám_đốc rồi icon_vui icon_vui
nv thu nhâ ̣ p cao thi ̀ hu ́ tao ma ́ u ngươ ̀ i dân phi ́ cao hơn hê ́ tao .,Disgust,nv thu nhâ ̣ p cao thi ̀ hu ́ tao ma ́ u ngươ ̀ i dân phi_́ cao hơn hê ́ tao
người tài như vậy lại không được sử dụng đúng mục đích … quá buồn,Sadness,người tài như_vậy lại không được sử_dụng đúng mục_đích quá buồn
một câu chuyện cổ tích xiaolon đầy tính nhân văn !!!,Disgust,một câu_chuyện cổ_tích xiaolon đầy tính nhân_văn
còn chả có ai nói chuyện thân thiết quan tâm đến tôi :<,Sadness,còn chả có ai nói_chuyện thân_thiết quan_tâm đến tôi icon_buon
đoạn phỏng vấn + xin đi chụp hình + cạo râu lão là hay nhất theo mình =]],Enjoyment,đoạn phỏng_vấn xin đi chụp hình cạo râu lão là hay nhất theo mình
coi thôi cũng đủ nghiện rồi 💋,Enjoyment,coi thôi cũng đủ nghiện rồi
năm nào cũng phải ở nhà trông nhà :((,Sadness,năm nào cũng phải ở nhà trông nhà icon_buon
idol có skill mới chất quá 😂 1 cú đánh mông thôi mà đối thủ bay sấp mặt luôn luôn 🤣,Enjoyment,idol có skill mới chất quá icon_vui 1 cú đánh mông thôi mà đối_thủ bay sấp_mặt luôn_luôn icon_vui
"hy vọng cơ quan điều tra làm rõ được danh tính người phụ nữ , chỉ vì cái miệng mà làm tan nát cả 1 gia đình",Disgust,hy_vọng cơ_quan điều_tra làm rõ được danh_tính người phụ_nữ chỉ vì cái miệng mà làm tan_nát cả 1 gia_đình
